,Gruppe,Navn,Svind,kJ,"kcal",Nitrogen-til-protein faktor,"Nitrogen, total","Protein","Protein, deklaration","Kulhydrat, difference ","Kulhydrat, tilgængelig","Kulhydrat",Sukker,Kostfibre,"Fedt",FCF,Alkohol,Aske,Tørstof,Vand,A-vitamin,Retinol,beta-caroten,D-vitamin,D3-vitamin,D2 ergocalciferol,25-hydroxy D3-vitamin,25-hydroxyergocalciferol,E-vitamin,alfa-tokoferol,gamma-tokoferol,delta-tokoferol,alfa-tokotrienol,K1-vitamin,B1-vitamin,thiamin,"B2-vitamin, riboflavin",Niacinækvivalent,Niacin,B6-vitamin,Pantothensyre,Biotin,Folat,Frit folat,B12-vitamin,C-vitamin,L-ascorbinsyre,L-dehydroascorbinsyre,"Svovl, S","Chlorid, Cl","Natrium, Na","Kalium, K","Calcium, Ca","Magnesium, Mg","Fosfor, P","Jern, Fe","Kobber, Cu","Zink, Zn","Jod, I","Mangan, Mn","Chrom, Cr","Selen, Se","Molybdæn, Mo","Cobolt, Co","Nikkel, Ni","Fluor, F","Silicium, Si","Rubidium, Rb","Aluminium, Al","Bor, B","Brom, Br","Kviksølv, Hg","Arsen, As",Arsen uorganisk,"Cadmium, Cd","Bly, Pb","Tin, Sn",L-mælkesyre,D-mælkesyre,"Mælkesyre, total",Citronsyre,Oxalsyre,Æblesyre,Benzoesyre,"Organiske syrer, tot.",Histamin,Tyramin,Phenylethylamin,Putrescin,Cadaverin,Spermin,Spermidin,Serotonin,Fruktose,Galaktose,Glukose,"Monosaccharider, total",Laktose,Maltose,Sakkarose,"Disaccharider, total",Raffinose,Andre sukkerarter,"Sukkerarter, ialt",Sorbitol,Inositol,Maltitol,"Sukkeralkoholer, total",Stivelse,IDF,SDFP,SDFS,Hexose,Pentose,Uronic Acid,Cellulose,Lignin,Crude fibre,Neutr.Det.Fibre (NDF),C4:0,C6:0,C8:0,C10:0,C12:0,C13:0,C14:0,C15:0,C16:0,C17:0,C18:0,C20:0,C21:0,C22:0,C23:0,C24:0,Andre mættede fedtsyrer,"C12:1,n-1","C14:1,n-5",C15:1,"C16:1,n-7","C17:1,n-7","C18:1,n-9","C18:1,n-7","C20:1,n-9","C20:1,n-11","C22:1,n-9","C22:1,n-11","C24:1,n-9",Andre monoumættede fedtsyrer,"C18:2,n-6","C18:2,conjugerede","C18:3,n-3 (ALA)","C18:3,n-6","C18:4,n-3","C20:2,n-6","C22:2,n-6","C22:4,n-6","C22:5,n-6","C20:3,n-3","C20:4,n-3","C20:3,n-6","C20:4,n-6","C20:5,n-3 (EPA)","C22:5,n-3","C22:6,n-3 (DHA)",Andre polyumættede,"C14:1,trans","C16:1,trans","C18:1,trans","C20:1,trans","C22:1,trans","C18:2,trans",Andre fedtsyrer,Sum mættede,Sum monoumættede,Sum polyumættede,"Transfedtsyrer, total","Fedtsyrer, total",Sum n-3 fedtsyrer,Sum n-6 fedtsyrer,Cholesterol,Isoleucin,Leucin,Lysin,Methionin,Cystin,Phenylalanin,Tyrosin,Threonin,Tryptofan,Valin,Arginin,Histidin,Alanin,Asparaginsyre,Glutaminsyre,Glycin,Prolin,Hydroxyprolin,Serin,Massefylde
11,Bærfrugt,"Solbær, rå",2,314,75,6.25,0.243,1.5,1.5,17.2,11.4,9.9,0,5.8,1.3,0.8,0,0.9,20.9,79.1,10.8,0,130,0,0,iv,iv,iv,2.1,2.1,iv,iv,iv,iv,0.025,iv,0.025,0.523,0.3,0.08,0.398,2.4,8.2,15,0,181,181,iv,iv,iv,3,337,59.1,22,47.9,0.8,0.099,0.29,1.5,0.31,0.8,1.1,0,iv,9.64,iv,iv,iv,iv,iv,iv,0.03,0.17,iv,0.181,1.48,iv,iv,iv,iv,iv,iv,iv,0.03,iv,iv,0.03,iv,iv,iv,iv,iv,iv,4.9,iv,4,8.9,0,0,1,1,iv,iv,9.9,0,iv,iv,0,0,iv,iv,iv,0.89,0.32,0.06,1.38,1.02,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.223,iv,0.021,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.083,iv,iv,iv,iv,iv,iv,iv,0.489,iv,0.244,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.244,0.083,0.733,iv,1.06,0.244,0.489,0,iv,iv,iv,iv,iv,iv,iv,iv,13,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
12,Syrnede mælkeprodukter,"Yoghurt naturel, sødmælk",0,260,62,6.38,0.594,3.8,3.7,4,4,3.6,0,0,3.6,0.945,0,0.8,12.2,87.8,29.9,28.6,16,0.1,0.1,iv,iv,iv,0.02,0.02,iv,iv,iv,0,0.0414,iv,0.174,0.961,0.1,0.042,0.25,1.8,21,126,0.22,0.2,0.2,iv,iv,91.4,46.5,146,135,11.7,98.9,0.053,0.008,0.491,12,0.005,0.0524,1.78,0,iv,0.35,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.002,0.089,iv,0.6,0.45,1.04,0.2,iv,iv,2.25,1.25,0.021,0.125,iv,iv,iv,iv,iv,0.003,0,1.13,0,1.13,2.5,0,0,2.5,iv,0,3.63,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,0.122,0.077,0.05,0.111,0.139,iv,0.396,iv,1.056,iv,0.362,iv,iv,iv,iv,iv,iv,iv,0.05,iv,0.077,iv,0.796,iv,iv,0.041,iv,iv,iv,iv,0.075,iv,0.027,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,2.314,0.965,0.102,iv,3.381,0.027,0.075,14,202,362,338,95,25,166,172,160,52,255,131,101,125,333,736,77,356,iv,208,iv
13,Blad- og stængelgrøntsager,"Bladselleri, rå",32,98,23,6.25,0.119,0.7,0.7,5.5,3.9,1.9,0,1.6,0.2,0.8,0,1.1,7.5,92.5,1.42,0,17,0,0,iv,iv,iv,0.2,0.2,iv,iv,iv,iv,0.035,iv,0.075,0.589,0.45,0.09,0.4,0.1,28,6,0,9,9,iv,iv,iv,62,318,56.7,8,30.1,0.4,0.11,0.1,1.1,iv,1.6,0.046,iv,iv,1.75,iv,iv,iv,iv,iv,iv,0.07,0.7,iv,1.58,0.9,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.81,iv,0.94,1.75,iv,0,0.04,0.04,0,0.36,1.79,iv,iv,iv,iv,0.1,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,0,iv,0.001,iv,0.032,iv,0.003,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.001,iv,0.027,iv,iv,0,0,0,iv,iv,0.069,iv,0,iv,0,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.036,0.027,0.069,iv,0.133,0,0.069,0,29,51,16,13,4,33,10,25,8,36,30,11,25,131,98,23,19,iv,22,iv
14,Blad- og stængelgrøntsager,"Blomkål, uspecificeret, rå",34,116,28,6.25,0.389,2.4,2.4,4.7,2.5,1.9,0,2.2,0.4,0.8,0,0.7,8.3,91.7,3.33,0,40,0,0,iv,iv,iv,0.2,0.2,iv,iv,iv,16,0.0588,iv,0.0727,1.06,0.6,0.145,0.6,1.5,165,32,0,76.8,68.1,8.7,iv,iv,17,286,24.5,13.2,48.1,0.402,0.042,0.261,0.8,0.23,1.1,0.5,iv,iv,8.85,iv,iv,iv,iv,iv,iv,0.07,0.18,iv,0.74,0.5,iv,iv,iv,iv,iv,iv,iv,1.5,iv,iv,iv,iv,iv,iv,iv,iv,0.01,1.31,iv,0.51,1.82,0,0,0.06,0.06,iv,iv,1.88,iv,iv,iv,iv,0.01,iv,iv,iv,0.39,0.54,0.5,1.12,0.01,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.069,iv,0.007,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.026,iv,iv,iv,iv,iv,iv,iv,0.03,iv,0.187,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.076,0.026,0.217,iv,0.32,0.187,0.03,0,86,128,117,30,14,82,51,82,28,140,93,43,183,198,268,86,105,iv,121,iv
15,Stenfrugt,"Blomme, rå",8,199,47,6.25,0.086,0.5,0.5,12.1,10.5,9.2,0,1.6,0.3,0.8,0,0.6,13.5,86.5,6.67,0,80,0,0,iv,iv,iv,0.4,0.4,iv,iv,iv,iv,0.02,iv,0.025,0.463,0.4,0.045,0.15,0,3,1,0,5,5,iv,iv,iv,3,140,8.57,5,19.6,0.14,0.063,0.091,0.4,0.1,0.3,0.114,0,iv,6.67,iv,iv,iv,iv,iv,iv,0.04,0.02,iv,0.07,0.5,iv,iv,iv,iv,iv,iv,iv,0.6,iv,0.01,0.03,iv,iv,iv,iv,iv,0.47,2.32,iv,3.32,5.64,0,0,3.52,3.52,iv,iv,9.16,1.66,iv,iv,1.66,0,iv,iv,iv,0.63,0.36,1.08,0.43,0.36,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.044,iv,0.014,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.017,iv,iv,iv,iv,iv,iv,iv,0.11,iv,0.055,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.058,0.017,0.165,iv,0.24,0.055,0.11,0,15,23,21,3,2,16,9,15,4,19,12,9,19,95,22,15,18,iv,28,iv
16,Bærfrugt,"Blåbær, rå",2,219,52,6.25,0.112,0.7,0.7,11.9,10.4,10.4,0,1.5,0.5,0.8,0,0.2,13.3,86.7,1.08,0,13,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.03,iv,0.03,0.587,0.4,0.06,0.16,iv,6,2,0,44,44,iv,iv,iv,3,103,15,7,9,0.8,0.11,0.1,1.2,3.3,1,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,160,iv,0.01,0,iv,iv,iv,iv,iv,0.003,4.73,iv,4.73,9.47,0,0,0.0333,0.0333,iv,iv,9.5,0,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.4,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,11,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
17,Blad- og stængelgrøntsager,"Broccoli, rå",17,148,35,6.25,0.569,3.6,3.6,6.3,3.1,2.1,0,3.2,0.2,0.8,0,1,11.1,88.9,44.4,0,533,0,0,iv,iv,iv,1.45,1.45,iv,iv,iv,260,0.0869,iv,0.11,1.23,0.57,0.223,0.689,7.35,239,iv,0,117,112,5.19,iv,iv,12.4,389,44.4,20.8,78.2,0.695,0.05,0.424,0.156,0.264,0.343,2.44,0,iv,9.47,iv,iv,iv,iv,iv,iv,0.0101,0.42,iv,0.875,0.264,iv,iv,iv,iv,iv,iv,iv,1.5,iv,0.01,iv,iv,iv,iv,iv,iv,0.02,1.05,iv,0.93,1.98,iv,0,0.0885,0.0885,0,0,2.07,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,0.83,0.03,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.192,iv,iv,0,137,188,182,51,40,131,iv,154,40,171,222,80,iv,iv,iv,iv,iv,iv,iv,iv
18,Bærfrugt,"Brombær, rå",4,153,37,6.25,0.224,1.4,1.4,7.7,3.4,4.5,0,4.3,1,0.8,0,0.4,10.5,89.5,16.7,0,200,0,0,iv,iv,iv,5.5,5.5,iv,iv,iv,iv,0.017,iv,0.05,0.694,0.5,0.05,0.25,0.4,34,iv,0,15,15,iv,iv,iv,2,266,27,23,37,0.55,0.12,0.53,0.4,0.646,1,0.1,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.03,iv,iv,iv,iv,iv,iv,iv,iv,iv,2.33,iv,2.17,4.5,iv,0,0,0,iv,iv,4.5,0,iv,iv,0,0,iv,iv,iv,iv,iv,iv,iv,iv,4.1,4.53,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.8,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,12,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
19,Bælgplanter,"Brune bønner, tørrede, rå",0,1313,312,6.25,3.024,18.9,18.9,63.4,45.6,45.6,0,17.8,2,0.8,0,3.4,87.7,12.3,1.08,0,13,0,0,iv,iv,iv,0.34,0.34,iv,iv,iv,170,0.35,iv,0.14,5.93,2,0.415,0.5,0.5,140,24,0,0,0,iv,iv,iv,8,1330,77.3,131,477,5,0.5,2,1.9,2,11.4,8.8,iv,iv,273,iv,iv,iv,iv,iv,iv,0.1,0,iv,1.59,6.98,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,3.2,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,1.6,iv,iv,0,877,1330,1360,172,124,937,423,786,236,1910,907,484,726,227,2480,696,696,iv,1180,iv
20,Bælgplanter,"Voksbønner, rå",12,148,35,6.25,0.336,2.1,2.1,7.1,5.3,5.3,0,1.8,0.2,0.8,0,0.6,10,90,4.58,0,55,0,0,iv,iv,iv,0.45,0.45,iv,iv,iv,iv,0.075,iv,0.125,1.05,0.6,0.1,0.05,0.7,100,8,0,21,21,iv,iv,iv,6,209,45,27,38,1.1,0.07,0.4,0.6,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,2.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.16,iv,iv,0,81,118,111,28,7,57,47,91,27,104,77,33,84,336,218,64,60,iv,165,iv
21,Sydfrugt,"Citron, rå",35,187,44,6.25,0.08,0.5,0.5,9.9,8.7,3.1,0,1.2,1.1,0.8,0,0.3,11.8,88.2,1.67,0,20,0,0,iv,iv,iv,0.8,0.8,iv,iv,iv,iv,0.045,iv,0.03,0.241,0.2,0.06,0.23,0.5,32,7,0,49,49,iv,iv,iv,3,175,35.1,9,20.7,0.08,0.053,0.13,0.3,0.04,0.2,0.12,iv,iv,6.65,iv,iv,iv,iv,iv,iv,0.13,0.04,iv,0.0355,0.4,iv,iv,iv,iv,4.8,iv,iv,iv,4.8,iv,iv,iv,iv,iv,iv,iv,0.003,0.957,iv,1.07,2.03,iv,iv,1.09,1.09,iv,iv,3.11,0,iv,iv,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.4,iv,0,0,0,0,0,iv,0.007,iv,0.223,iv,0.013,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.007,iv,0.063,iv,iv,0,0,iv,iv,iv,0.401,iv,0.166,iv,0,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.243,0.07,0.567,iv,0.88,0.166,0.401,0,14,12,25,7,6,18,10,7,2,18,30,7,29,69,57,48,26,iv,14,iv
22,Krydderurter,"Dild, rå",52,201,48,6.25,0.554,3.5,3.5,7,4.9,4.9,0,2.1,1.1,0.8,0,2.5,14.1,86,499,0,5980,0,0,iv,iv,iv,1.7,1.7,iv,iv,iv,iv,0.19,iv,0.43,3.51,2.4,0.3,0.3,0.4,116,41,0,70,70,iv,iv,iv,27,647,202,28,51.9,5.5,0.22,1.8,3.9,2.7,20.3,2.7,0,iv,5.7,iv,iv,iv,iv,iv,iv,0,2,iv,8.2,16.2,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.001,iv,0.001,iv,0.046,iv,0.008,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.004,iv,0.747,iv,iv,iv,iv,iv,iv,iv,0.077,iv,0.012,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.056,0.751,0.089,iv,0.896,0.012,0.077,0,iv,iv,iv,iv,iv,iv,iv,iv,66,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
23,Blad- og stængelgrøntsager,"Grønkål, rå",46,252,60,6.25,0.745,4.7,4.7,10.9,4.7,2,0,6.2,1.1,0.8,0,1.8,18.5,81.5,421,0,5050,0,0,iv,iv,iv,5.4,5.4,iv,iv,iv,250,0.15,iv,0.29,3.98,2.8,0.35,1,36,60,44,0,169,169,iv,iv,iv,35,264,219,20,73.9,2,0.091,0.62,1.4,0.5,8.3,2.1,2,iv,13.5,iv,iv,iv,iv,iv,iv,0.88,1.94,iv,2.96,8.03,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.94,iv,0.76,1.7,iv,0,0.2,0.2,0.12,0,1.9,iv,iv,iv,iv,0.08,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.148,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.033,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.197,iv,0.543,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.148,0.033,0.739,iv,0.92,0.543,0.197,0,179,298,253,54,22,201,112,179,71,253,216,89,276,350,410,201,268,iv,186,iv
24,Rod- og knoldgrøntsager,"Gulerod, uspec., rå",16,152,36,6.25,0.11,0.7,0.7,8.9,6,6.2,0,2.9,0.4,0.8,0,0.7,10.7,89.3,816,0,9790,0,0,iv,iv,iv,0.55,0.55,iv,iv,iv,13.2,0.04,iv,0.033,1.1,1,0.119,0.28,3.4,63,15,0,7.01,5.01,2,iv,iv,66,286,24.6,9.6,33.1,0.24,0.036,0.19,3,0.36,0.8,0.1,0,iv,4.55,iv,iv,iv,iv,iv,iv,0.16,0.18,iv,1.74,1.4,iv,iv,iv,iv,iv,iv,iv,0.03,iv,0.01,iv,iv,iv,iv,iv,iv,0.003,1.4,iv,1.52,2.92,iv,0,3.26,3.26,0,0,6.18,iv,iv,iv,iv,0,iv,iv,iv,0.64,0.32,0.71,0.95,0.06,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.073,iv,0.006,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.006,iv,iv,iv,iv,iv,iv,iv,0.206,iv,0.029,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.079,0.006,0.235,iv,0.32,0.029,0.206,0,20,26,24,6,1,18,9,18,6,30,22,8,53,97,126,19,16,iv,24,iv
25,Saltvandsfisk,"Hornfisk, rå",42,450,107,6.25,3.224,19.5,19.5,0,0,0,iv,0,3.2,0.81,0,1.2,23.9,76.1,3.1,3.1,0,5.16,5.16,iv,0,iv,0.76,0.76,iv,iv,iv,0,0,iv,0.105,10.8,7.1,0.405,0.48,4.2,1,1,7.7,0.433,0.433,iv,iv,iv,62,301,79,23.4,213,0.61,0.064,2.72,19,0.018,6,29.5,iv,iv,2.2,iv,iv,iv,iv,iv,iv,7.62,37.1,iv,0.218,0.449,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,iv,0.069,0.001,0.482,iv,0.088,0,iv,0,iv,0,iv,iv,iv,iv,0.174,iv,0.548,0.082,0.03,iv,0,0.015,0.028,iv,0.08,iv,0.038,iv,0.025,0.011,iv,iv,iv,iv,0.014,0,0.025,0.119,0.084,0.649,iv,iv,iv,iv,iv,iv,iv,0.045,0.64,0.876,1.044,iv,2.605,0.929,0.115,85,967,1450,1770,580,164,774,709,871,222,1100,1260,677,1320,1840,2550,1100,709,iv,838,iv
26,Blad- og stængelgrøntsager,"Hvidkål, rå",8,133,32,6.25,0.196,1.2,1.2,7.3,5.1,4.5,0,2.3,0.2,0.8,0,0.6,9.4,90.6,2.92,0,35,0,0,iv,iv,iv,0.02,0.02,iv,iv,iv,76,0.0493,iv,0.0355,0.55,0.4,0.156,0.21,1.2,77,iv,0,45.8,45.8,iv,iv,iv,6,240,50.9,10.9,30.1,0.305,0.019,0.145,0.7,0.24,1.7,0.767,0,iv,2.7,iv,iv,iv,iv,iv,iv,0.09,0.12,iv,0.283,0.5,iv,iv,iv,iv,iv,iv,iv,0.03,iv,0.01,iv,iv,iv,iv,iv,iv,iv,1.88,iv,2.48,4.36,0,0,0.14,0.14,0,0,4.5,iv,iv,iv,iv,0.03,iv,iv,iv,0.27,0.37,0.82,0.71,0.06,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.037,iv,0.004,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.004,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.031,iv,0.084,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.041,0.004,0.115,iv,0.16,0.084,0.031,0,27,35,35,9,5,22,12,24,9,45,67,22,61,110,292,27,57,iv,51,iv
27,Bærfrugt,"Hyben, rå",32,332,79,6.25,0.096,0.6,0.6,21.1,15,15,0,6.1,0.5,0.8,0,0.9,23.1,76.9,950,0,11400,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.06,iv,0.07,0.542,0.5,0.05,iv,iv,iv,iv,0,840,840,iv,iv,iv,24,410,184,28,35,0.2,0.18,0.92,1,1.2,3,0.2,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,6.3,iv,6.3,12.6,iv,iv,1.44,1.44,iv,iv,14,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.4,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,2,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
28,Bærfrugt,"Hyldebær, rå",17,281,67,6.25,0.106,0.7,0.7,18.4,11.6,11.6,0,6.8,0.5,0.7,0,0.6,20.2,79.8,27.1,0,325,0,0,iv,iv,iv,1,1,iv,iv,iv,iv,0.07,iv,0.06,1.97,1.7,0.18,0.14,1.8,12,17,0,29,29,iv,iv,iv,8,321,47.4,32,55.8,0.9,0.062,0.21,2.5,iv,4.1,0.6,iv,iv,4.77,iv,iv,iv,iv,iv,iv,0.14,0.35,iv,0.225,2.74,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,3.12,iv,3.15,6.27,iv,iv,0.25,0.25,iv,iv,6.52,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,7,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.026,iv,0.007,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.029,iv,iv,iv,iv,iv,iv,iv,0.157,iv,0.131,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.033,0.029,0.288,iv,0.35,0.131,0.157,0,28,60,27,14,15,40,51,28,16,33,48,15,30,58,96,36,25,iv,32,iv
29,Stenfrugt,"Kirsebær, rå",25,234,55,6.25,0.22,1.4,1.4,12.3,11,11.7,0,1.3,0.3,0.8,0,0.6,14.7,85.3,5.75,0,69,0,0,iv,iv,iv,0.2,0.2,iv,iv,iv,iv,0.025,iv,0.03,0.325,0.2,0.045,0.26,0.4,8,6,0,10,10,iv,iv,iv,2,176,20.8,8,27.9,0.3,0.07,0.1,0.2,0.08,0.3,0.1,iv,iv,1.5,iv,iv,iv,iv,iv,iv,0.01,0.1,iv,0.0456,0.487,iv,iv,iv,iv,iv,iv,iv,0.8,iv,0.01,0.03,iv,iv,iv,iv,iv,0.003,5.4,iv,6.1,11.5,iv,iv,0.2,0.2,iv,iv,11.7,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,0,iv,0.002,iv,0.053,iv,0.019,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.001,iv,0.09,iv,iv,iv,iv,iv,iv,iv,0.052,iv,0.05,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.074,0.091,0.102,iv,0.267,0.05,0.052,0,24,35,46,5,4,24,15,26,7,33,20,16,37,735,46,29,40,iv,40,iv
